id,sensor,mac_address,unidade_medida,valor,latitude,longitude,status,timestamp
30,luminosidade,00:1B:44:11:3A:B9,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.434454Z
31,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.438209Z
32,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.442122Z
33,luminosidade,00:1B:44:11:3A:BA,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.447082Z
34,luminosidade,00:1B:44:11:3A:BA,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.450619Z
35,luminosidade,00:1B:44:11:3A:B7,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.454383Z
36,luminosidade,00:1B:44:11:3A:B7,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.458151Z
37,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.463896Z
38,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.467405Z
39,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.472600Z
40,luminosidade,00:1B:44:11:3A:B8,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.477037Z
41,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.481916Z
42,luminosidade,00:1B:44:11:3A:B9,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.485382Z
43,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.488585Z
44,luminosidade,00:1B:44:11:3A:B8,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.491723Z
45,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.497826Z
46,luminosidade,00:1B:44:11:3A:BA,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.502102Z
47,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.505425Z
48,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.510041Z
49,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.515405Z
50,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.519595Z
51,luminosidade,00:1B:44:11:3A:B9,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.522825Z
52,luminosidade,00:1B:44:11:3A:B7,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.528390Z
53,luminosidade,00:1B:44:11:3A:B9,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.532664Z
54,luminosidade,00:1B:44:11:3A:B8,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.536223Z
55,luminosidade,00:1B:44:11:3A:B7,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.540343Z
56,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.547502Z
57,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.551653Z
58,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.555137Z
59,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.558272Z
60,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.565861Z
61,luminosidade,00:1B:44:11:3A:B9,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.570272Z
62,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.573432Z
63,luminosidade,00:1B:44:11:3A:B8,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.578852Z
64,luminosidade,00:1B:44:11:3A:B7,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.584990Z
65,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.588625Z
66,luminosidade,00:1B:44:11:3A:B8,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.594484Z
67,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.599919Z
68,luminosidade,00:1B:44:11:3A:B7,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.603488Z
69,luminosidade,00:1B:44:11:3A:BA,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.606976Z
70,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.612067Z
71,luminosidade,00:1B:44:11:3A:BA,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.615972Z
72,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.620111Z
73,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.623701Z
74,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.628660Z
75,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.632523Z
76,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.636700Z
77,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.640001Z
78,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.645513Z
79,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.649382Z
80,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.653617Z
81,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.656753Z
82,luminosidade,00:1B:44:11:3A:B9,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.662288Z
83,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.666273Z
84,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.670099Z
85,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.673612Z
86,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.678811Z
87,luminosidade,00:1B:44:11:3A:B8,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.682608Z
88,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.686913Z
89,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.690329Z
90,luminosidade,00:1B:44:11:3A:BA,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.696257Z
91,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.701222Z
92,luminosidade,00:1B:44:11:3A:B8,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.704923Z
93,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.708122Z
94,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.714114Z
95,luminosidade,00:1B:44:11:3A:B8,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.718767Z
96,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.722260Z
97,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.725365Z
98,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.730744Z
99,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.734477Z
100,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.737723Z
101,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.740663Z
102,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.746423Z
103,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.750245Z
104,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.756575Z
105,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.760821Z
106,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.765490Z
107,luminosidade,00:1B:44:11:3A:B8,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.769930Z
108,luminosidade,00:1B:44:11:3A:BA,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.773716Z
109,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.779510Z
110,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.783951Z
111,luminosidade,00:1B:44:11:3A:BA,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.788401Z
112,luminosidade,00:1B:44:11:3A:B8,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.792005Z
113,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.798191Z
114,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.802386Z
115,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.805900Z
116,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.813093Z
117,luminosidade,00:1B:44:11:3A:B8,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.817433Z
118,luminosidade,00:1B:44:11:3A:B9,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.820836Z
119,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.824234Z
120,luminosidade,00:1B:44:11:3A:B8,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.829658Z
121,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.833183Z
122,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.836744Z
123,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.840398Z
124,luminosidade,00:1B:44:11:3A:B9,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.845312Z
125,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.848971Z
126,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.852841Z
127,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.856121Z
128,luminosidade,00:1B:44:11:3A:B8,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.860753Z
129,luminosidade,00:1B:44:11:3A:BA,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.864779Z
130,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.868629Z
131,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.872088Z
132,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.875204Z
133,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.881473Z
134,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.884892Z
135,luminosidade,00:1B:44:11:3A:B9,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.887978Z
136,luminosidade,00:1B:44:11:3A:BA,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.891796Z
137,luminosidade,00:1B:44:11:3A:B9,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.897094Z
138,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.900659Z
139,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.905205Z
140,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.910178Z
141,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.916354Z
142,luminosidade,00:1B:44:11:3A:B8,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.920610Z
143,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.924730Z
144,luminosidade,00:1B:44:11:3A:B9,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.930377Z
145,luminosidade,00:1B:44:11:3A:BA,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.934468Z
146,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.938487Z
147,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.941864Z
148,luminosidade,00:1B:44:11:3A:B9,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.947424Z
149,luminosidade,00:1B:44:11:3A:BA,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.951080Z
150,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.954794Z
151,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.958592Z
152,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.964198Z
153,luminosidade,00:1B:44:11:3A:B8,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.968872Z
154,luminosidade,00:1B:44:11:3A:B7,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.973155Z
155,luminosidade,00:1B:44:11:3A:B8,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.978142Z
156,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.982831Z
157,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.986639Z
158,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.990535Z
159,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.995310Z
160,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:53:00.000565Z
161,luminosidade,00:1B:44:11:3A:B7,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.003978Z
162,luminosidade,00:1B:44:11:3A:B9,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:53:00.007396Z
163,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:53:00.014262Z
164,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.021314Z
165,luminosidade,00:1B:44:11:3A:B8,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:53:00.029316Z
166,luminosidade,00:1B:44:11:3A:B7,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:53:00.039898Z
167,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.047341Z
168,luminosidade,00:1B:44:11:3A:B8,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:53:00.051274Z
169,luminosidade,00:1B:44:11:3A:B7,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.054846Z
170,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.058056Z
171,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:53:00.065289Z
172,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:53:00.069679Z
173,luminosidade,00:1B:44:11:3A:BA,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:53:00.074707Z
174,luminosidade,00:1B:44:11:3A:BA,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:53:00.080985Z
175,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:53:00.085222Z
176,luminosidade,00:1B:44:11:3A:BA,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:53:00.088960Z
177,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:53:00.092152Z
178,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:53:00.114112Z
179,luminosidade,00:1B:44:11:3A:B9,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:53:00.117948Z
180,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:53:00.121077Z
181,luminosidade,00:1B:44:11:3A:B8,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:53:00.123984Z
182,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:53:00.129865Z
183,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:53:00.133248Z
184,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:53:00.136664Z
185,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:53:00.140136Z
186,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.145235Z
187,luminosidade,00:1B:44:11:3A:B8,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:53:00.149067Z
188,luminosidade,00:1B:44:11:3A:B7,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.152934Z
189,luminosidade,00:1B:44:11:3A:B7,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.156139Z
190,luminosidade,00:1B:44:11:3A:B7,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:53:00.174504Z
191,luminosidade,00:1B:44:11:3A:B7,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:53:00.181022Z
192,luminosidade,00:1B:44:11:3A:BA,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.184397Z
193,luminosidade,00:1B:44:11:3A:B7,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:53:00.187318Z
194,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.191963Z
195,luminosidade,00:1B:44:11:3A:B7,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:53:00.198199Z
196,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:53:00.201554Z
197,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:53:00.205888Z
198,luminosidade,00:1B:44:11:3A:B7,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.213001Z
199,luminosidade,00:1B:44:11:3A:B7,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:53:00.216321Z
200,luminosidade,00:1B:44:11:3A:B8,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:53:00.220277Z
201,luminosidade,00:1B:44:11:3A:B7,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:53:00.224346Z
202,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:53:00.231227Z
203,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:53:00.234621Z
204,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:53:00.291896Z
205,temperatura,00:1B:44:11:3A:BA,°C,,-15.794229,-47.882166,inativo,2025-06-11T21:55:42.545332Z
206,temperatura,00:1B:44:11:3A:BA,°C,,-22.906847,-43.172896,ativo,2025-06-11T21:55:42.549896Z
207,temperatura,00:1B:44:11:3A:BA,°C,,-22.906847,-43.172896,inativo,2025-06-11T21:55:42.553583Z
208,temperatura,00:1B:44:11:3A:BA,°C,,-23.55052,-46.633308,inativo,2025-06-11T21:55:42.558001Z
209,temperatura,00:1B:44:11:3A:B9,°C,,-19.916681,-43.934493,inativo,2025-06-11T21:55:42.563251Z
210,temperatura,00:1B:44:11:3A:B8,°C,,-23.55052,-46.633308,ativo,2025-06-11T21:55:42.568996Z
211,temperatura,00:1B:44:11:3A:B7,°C,,-23.55052,-46.633308,ativo,2025-06-11T21:55:42.572581Z
212,temperatura,00:1B:44:11:3A:BA,°C,,-22.906847,-43.172896,ativo,2025-06-11T21:55:42.576612Z
213,temperatura,00:1B:44:11:3A:B8,°C,,-22.906847,-43.172896,inativo,2025-06-11T21:55:42.583467Z
214,temperatura,00:1B:44:11:3A:B7,°C,,-23.55052,-46.633308,ativo,2025-06-11T21:55:42.588307Z
215,temperatura,00:1B:44:11:3A:B9,°C,,-19.916681,-43.934493,ativo,2025-06-11T21:55:42.594284Z
216,temperatura,00:1B:44:11:3A:B9,°C,,-23.55052,-46.633308,ativo,2025-06-11T21:55:42.600510Z
217,temperatura,00:1B:44:11:3A:B8,°C,,-23.55052,-46.633308,ativo,2025-06-11T21:55:42.605173Z
218,temperatura,00:1B:44:11:3A:B8,°C,,-22.906847,-43.172896,ativo,2025-06-11T21:55:42.610560Z
219,temperatura,00:1B:44:11:3A:B9,°C,,-15.794229,-47.882166,inativo,2025-06-11T21:55:42.617003Z
220,temperatura,00:1B:44:11:3A:B9,°C,,-23.55052,-46.633308,inativo,2025-06-11T21:55:42.621864Z
221,temperatura,00:1B:44:11:3A:B7,°C,,-23.55052,-46.633308,inativo,2025-06-11T21:55:42.627733Z
222,temperatura,00:1B:44:11:3A:B7,°C,,-19.916681,-43.934493,inativo,2025-06-11T21:55:42.634236Z
223,temperatura,00:1B:44:11:3A:BA,°C,,-19.916681,-43.934493,inativo,2025-06-11T21:55:42.647972Z
224,temperatura,00:1B:44:11:3A:BA,°C,,-19.916681,-43.934493,inativo,2025-06-11T21:55:42.653589Z
225,temperatura,00:1B:44:11:3A:B8,°C,,-23.55052,-46.633308,ativo,2025-06-11T21:55:42.656817Z
226,temperatura,00:1B:44:11:3A:B9,°C,,-23.55052,-46.633308,ativo,2025-06-11T21:55:42.662056Z
227,temperatura,00:1B:44:11:3A:BA,°C,,-23.55052,-46.633308,ativo,2025-06-11T21:55:42.666600Z
228,temperatura,00:1B:44:11:3A:B8,°C,,-22.906847,-43.172896,inativo,2025-06-11T21:55:42.669798Z
